species_id,species,superclass,class,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
fis_4054,Rineloricaria malabarbai,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,malabarbai,"Rodriguez & Reis, 2008",NA,0,native
fis_4055,Rineloricaria baliola,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,baliola,"Rodriguez & Reis, 2008",NA,0,native
fis_4056,Leptolebias itanhaensis,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Cynolebiinae,Leptolebias,itanhaensis,"Costa, 2008",NA,1,native
fis_4057,Acestrocephalus maculosus,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Acestrocephalus,maculosus,"Menezes, 2006",NA,0,native
fis_4058,Acestrocephalus stigmatus,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Acestrocephalus,stigmatus,"Menezes, 2006",NA,0,native
fis_4059,Acestrocephalus nigrifasciatus,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Acestrocephalus,nigrifasciatus,"Menezes, 2006",NA,0,native
fis_4060,Acestrocephalus acutus,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Acestrocephalus,acutus,"Menezes, 2006",NA,0,native
fis_4061,Acestrocephalus pallidus,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Acestrocephalus,pallidus,"Menezes, 2006",NA,0,native
fis_4062,Pimelodus pohli,Osteichthyes,Teleostei,Siluriformes,Pimelodidae,NA,Pimelodus,pohli,"Ribeiro & Lucena, 2006",Mandi,0,native
fis_4063,Pseudoscopelus pierbartus,Osteichthyes,Teleostei,Scombriformes,Chiasmodontidae,NA,Pseudoscopelus,pierbartus,"Spitz, Quéro & Vayne, 2007",NA,0,native
fis_4064,Crenicichla yaha,Osteichthyes,Teleostei,Cichliformes,Cichlidae,Cichlinae,Crenicichla,yaha,"Casciotta, Almirón & Gómez, 2006",NA,0,native
fis_4065,Knodus tiquiensis,Osteichthyes,Teleostei,Characiformes,Characidae,Stevardiinae,Knodus,tiquiensis,"Ferreira & Lima, 2006",NA,0,native
fis_4066,Jenynsia diphyes,Osteichthyes,Teleostei,Cyprinodontiformes,Anablepidae,Anablepinae,Jenynsia,diphyes,"Lucinda, Ghedotti & da Graça, 2006",NA,0,native
fis_4067,Rivulus formosensis,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Rivulus,formosensis,"Costa, 2008",NA,0,native
fis_4068,Phenacogaster apletostigma,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Phenacogaster,apletostigma,"Lucena & Gama, 2007",NA,0,native
fis_4069,Pareiorhaphis nasuta,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypoptopomatinae,Pareiorhaphis,nasuta,"Pereira, Vieira & Reis, 2007",NA,0,endemic
fis_4070,Acestridium triplax,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypoptopomatinae,Acestridium,triplax,"Rodríguez & Reis, 2007",NA,0,native
fis_4071,Hasemania nambiquara,Osteichthyes,Teleostei,Characiformes,Characidae,Stethaprioninae,Hasemania,nambiquara,"Bertaco & Malabarba, 2007",NA,0,native
fis_4072,Roeboides sazimai,Osteichthyes,Teleostei,Characiformes,Characidae,Characinae,Roeboides,sazimai,"Lucena, 2007",NA,0,native
fis_4073,Characidium xanthopterum,Osteichthyes,Teleostei,Characiformes,Crenuchidae,Characidiinae,Characidium,xanthopterum,"Silveira, Langeani, da Graça, Pavanelli & Buckup, 2008",NA,0,native
fis_4074,Brachyhypopomus draco,Osteichthyes,Teleostei,Gymnotiformes,Hypopomidae,NA,Brachyhypopomus,draco,"Giora, Malabarba & Crampton, 2008",NA,0,native
fis_4075,Phalloceros mikrommatos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,mikrommatos,"Lucinda, 2008",NA,0,native
fis_4076,Phalloceros leticiae,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,leticiae,"Lucinda, 2008",NA,0,native
fis_4077,Phalloceros heptaktinos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,heptaktinos,"Lucinda, 2008",NA,0,native
fis_4078,Phalloceros tupinamba,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,tupinamba,"Lucinda, 2008",NA,0,native
fis_4079,Phalloceros leptokeras,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,leptokeras,"Lucinda, 2008",NA,0,native
fis_4080,Phalloceros aspilos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,aspilos,"Lucinda, 2008",NA,0,native
fis_4081,Phalloceros elachistos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,elachistos,"Lucinda, 2008",NA,0,endemic
fis_4082,Phalloceros enneaktinos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,enneaktinos,"Lucinda, 2008",NA,0,native
fis_4083,Phalloceros titthos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,titthos,"Lucinda, 2008",NA,0,native
fis_4084,Phalloceros harpagos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,harpagos,"Lucinda, 2008",Barrigudinho,0,native
fis_4085,Phalloceros ocellatus,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,ocellatus,"Lucinda, 2008",NA,0,native
fis_4086,Phalloceros alessandrae,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,alessandrae,"Lucinda, 2008",NA,0,native
fis_4087,Phalloceros malabarbai,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,malabarbai,"Lucinda, 2008",NA,0,native
fis_4088,Phalloceros megapolos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,megapolos,"Lucinda, 2008",NA,0,native
fis_4089,Phalloceros lucenorum,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,lucenorum,"Lucinda, 2008",NA,0,native
fis_4090,Phalloceros uai,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,uai,"Lucinda, 2008",Barrigudinho,0,native
fis_4091,Phalloceros buckupi,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,buckupi,"Lucinda, 2008",NA,0,native
fis_4092,Phalloceros anisophallos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,anisophallos,"Lucinda, 2008",NA,0,native
fis_4093,Phalloceros pellos,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,pellos,"Lucinda, 2008",NA,0,native
fis_4094,Phalloceros spiloura,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,spiloura,"Lucinda, 2008",NA,0,native
fis_4095,Phalloceros reisi,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Phalloceros,reisi,"Lucinda, 2008",NA,0,native
fis_4096,Austrolebias paucisquama,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Cynolebiinae,Austrolebias,paucisquama,"Ferrer dos Santos, Malabarba & Costa, 2008",NA,0,native
fis_4097,Melanorivulus faucireticulatus,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Melanorivulus,faucireticulatus,"(Costa, 2008)",NA,0,native
fis_4098,Leporinus amazonicus,Osteichthyes,Teleostei,Characiformes,Anostomidae,NA,Leporinus,amazonicus,"Santos & Zuanon, 2008",NA,0,native
fis_4099,Melanorivulus kayabi,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Melanorivulus,kayabi,"(Costa, 2008)",NA,0,native
fis_4100,Melanorivulus bororo,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Melanorivulus,bororo,"(Costa, 2008)",NA,0,native
fis_4101,Melanorivulus paresi,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Melanorivulus,paresi,"(Costa, 2008)",NA,0,native
fis_4102,Kolpotocheirodon figueiredoi,Osteichthyes,Teleostei,Characiformes,Characidae,Cheirodontinae,Kolpotocheirodon,figueiredoi,"Malabarba, Lima & Weitzman, 2004",NA,0,native
fis_4103,Peckoltia lineola,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypostominae,Peckoltia,lineola,"Armbruster, 2008",NA,0,native
fis_4104,Copella meinkeni,Osteichthyes,Teleostei,Characiformes,Lebiasinidae,Pyrrhulininae,Copella,meinkeni,"Zarske & Géry, 2006",NA,0,native
fis_4105,Melanorivulus illuminatus,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Melanorivulus,illuminatus,"(Costa, 2007)",NA,0,native
fis_4106,Simpsonichthys nigromaculatus,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Cynolebiinae,Simpsonichthys,nigromaculatus,"Costa, 2007",NA,0,native
fis_4107,Doras zuanoni,Osteichthyes,Teleostei,Siluriformes,Doradidae,Doradinae,Doras,zuanoni,"Sabaj Pérez & Birindelli, 2008",NA,0,native
fis_4108,Doras higuchii,Osteichthyes,Teleostei,Siluriformes,Doradidae,Doradinae,Doras,higuchii,"Sabaj Pérez & Birindelli, 2008",NA,0,native
fis_4109,Doras phlyzakion,Osteichthyes,Teleostei,Siluriformes,Doradidae,Doradinae,Doras,phlyzakion,"Sabaj Pérez & Birindelli, 2008",NA,0,native
fis_4110,Leporinus vanzoi,Osteichthyes,Teleostei,Characiformes,Anostomidae,NA,Leporinus,vanzoi,"Britski & Garavello, 2005",NA,0,native
fis_4111,Adontosternarchus nebulosus,Osteichthyes,Teleostei,Gymnotiformes,Apteronotidae,Apteronotinae,Adontosternarchus,nebulosus,"Lundberg & Cox Fernandes, 2007",NA,0,native
fis_4112,Leucogrammolycus brychios,Osteichthyes,Teleostei,Perciformes/Zoarcoidei,Zoarcidae,Lycodinae,Leucogrammolycus,brychios,"Mincarone & Anderson, 2008",NA,0,native
fis_4113,Hemigrammus silimoni,Osteichthyes,Teleostei,Characiformes,Characidae,Stethaprioninae,Hemigrammus,silimoni,"Britski & Lima, 2008",NA,0,native
fis_4114,Hisonotus armatus,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypoptopomatinae,Hisonotus,armatus,"Carvalho, Lehmann A., Pereira & Reis, 2008",NA,0,native
fis_4115,Corumbataia veadeiros,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypoptopomatinae,Corumbataia,veadeiros,"Carvalho, 2008",NA,0,native
fis_4116,Glaphyropoma spinosum,Osteichthyes,Teleostei,Siluriformes,Trichomycteridae,Copionodontinae,Glaphyropoma,spinosum,"Bichuette, de Pinna & Trajano, 2008",NA,0,native
fis_4117,Trichomycterus caipora,Osteichthyes,Teleostei,Siluriformes,Trichomycteridae,Trichomycterinae,Trichomycterus,caipora,"Lima, Lazzarotto & Costa, 2008",NA,0,native
fis_4118,Gymnotocinclus anosteos,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypoptopomatinae,Gymnotocinclus,anosteos,"Carvalho, Lehmann A. & Reis, 2008",NA,0,native
fis_4119,Rineloricaria langei,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,langei,"Ingenito, Ghazzi, Duboc & Abilhoa, 2008",NA,0,native
fis_4120,Rineloricaria maacki,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,maacki,"Ingenito, Ghazzi, Duboc & Abilhoa, 2008",NA,0,native
fis_4121,Scoloplax baskini,Osteichthyes,Teleostei,Siluriformes,Scoloplacidae,NA,Scoloplax,baskini,"Rocha, de Oliveira & Rapp Py-Daniel, 2008",NA,0,native
fis_4122,Rineloricaria daraha,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,daraha,"Rapp Py-Daniel & Fichberg, 2008",NA,0,native
fis_4123,Loricaria spinulifera,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Loricaria,spinulifera,"Thomas & Rapp Py-Daniel, 2008",NA,0,native
fis_4124,Loricaria pumila,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Loricaria,pumila,"Thomas & Rapp Py-Daniel, 2008",NA,0,native
fis_4125,Rineloricaria osvaldoi,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,osvaldoi,"Fichberg & Chamon, 2008",NA,0,native
fis_4126,Loricaria lundbergi,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Loricaria,lundbergi,"Thomas & Rapp Py-Daniel, 2008",NA,0,native
fis_4127,Hypostomus denticulatus,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypostominae,Hypostomus,denticulatus,"Zawadzki, Weber & Pavanelli, 2008",NA,0,native
