species_id,species,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
mam_134,Mico chrysoleucos,Primates,Cebidae,Callitrichinae,Mico,chrysoleucos,"(Wagner, 1842)","sagui-de-tufos-brancos, sauim-branco",NA,NA
mam_135,Mico emiliae,Primates,Cebidae,Callitrichinae,Mico,emiliae,"(Thomas, 1920)",sagui-de-snethlage,NA,NA
mam_136,Mico humeralifer,Primates,Cebidae,Callitrichinae,Mico,humeralifer,"(É. Geoffroy St.-Hilaire, 1812)",sagui-de-tufos,NA,NA
mam_137,Mico humilis,Primates,Cebidae,Callitrichinae,Mico,humilis,"(M. Roosmalen et al., 1998)","sauim, mico-leão, mico-leãozinho, jeitinho, catípuru",NA,NA
mam_138,Mico intermedius,Primates,Cebidae,Callitrichinae,Mico,intermedius,"(Hershkovitz, 1977)",sagui-intermédio,NA,NA
mam_139,Mico leucippe,Primates,Cebidae,Callitrichinae,Mico,leucippe,"Thomas, 1922",sagui-de-orelha-nua-branco,NA,NA
mam_140,Mico marcai,Primates,Cebidae,Callitrichinae,Mico,marcai,"(Alperin, 1993)",sagui-de-marca,NA,NA
mam_141,Mico mauesi,Primates,Cebidae,Callitrichinae,Mico,mauesi,"(Mittermeier, Schwartz & Ayres, 1992)",sagui-de-tufos,NA,NA
mam_142,Mico melanurus,Primates,Cebidae,Callitrichinae,Mico,melanurus,"(É. Geoffroy St.-Hilaire, 1812)","sagui, sagui-marrom, sagui-de-rabo-preto",NA,NA
mam_143,Mico munduruku,Primates,Cebidae,Callitrichinae,Mico,munduruku,"Costa-Araújo, Farias & Hrbek, 2019",sauim-branco,NA,NA
mam_144,Mico nigriceps,Primates,Cebidae,Callitrichinae,Mico,nigriceps,"(Ferrari & Lopes, 1992)",sagui-de-cabeça-preta,NA,NA
mam_145,Mico rondoni,Primates,Cebidae,Callitrichinae,Mico,rondoni,"Ferrari et al., 2010","sagui-de-rondônia, macaquinho-branco, mico-cinza, sagui-branco",NA,NA
mam_146,Mico saterei,Primates,Cebidae,Callitrichinae,Mico,saterei,"(Silva Junior & Noronha, 1998)","sagui-dos-saterê, sauim-de-cara-branca, mico-leão",NA,NA
mam_147,Mico schneideri,Primates,Cebidae,Callitrichinae,Mico,schneideri,"Costa-Araújo, Silva-Jr., Boubli, Rossi, Hrbek & Farias, 2021",sagui-de-Schneider,NA,NA
mam_148,Saguinus cruzlimai,Primates,Cebidae,Callitrichinae,Saguinus,cruzlimai,"Hershkovitz, 1966","sagui, sauim",NA,NA
mam_149,Saguinus fuscicollis,Primates,Cebidae,Callitrichinae,Saguinus,fuscicollis,"(Spix, 1823)",sagui-de-cara-suja,NA,NA
mam_150,Saguinus fuscus,Primates,Cebidae,Callitrichinae,Saguinus,fuscus,"(Lesson, 1840)",sagui-de-cara-suja,NA,NA
mam_151,Saguinus nigricollis,Primates,Cebidae,Callitrichinae,Saguinus,nigricollis,"(Spix, 1823)","sagui, sauim",NA,NA
mam_152,Saguinus weddelli,Primates,Cebidae,Callitrichinae,Saguinus,weddelli,"(Deville, 1849)","sagui-branco, sauim-branco",NA,NA
mam_153,Saguinus bicolor,Primates,Cebidae,Callitrichinae,Saguinus,bicolor,"(Spix, 1823)",sauim-de-coleira,NA,NA
mam_154,Saguinus martinsi,Primates,Cebidae,Callitrichinae,Saguinus,martinsi,"(Thomas, 1912)","sauim, soim",NA,NA
mam_155,Saguinus midas,Primates,Cebidae,Callitrichinae,Saguinus,midas,"(Linnaeus, 1758)",sagui-da-mão-dourada,NA,NA
mam_156,Saguinus niger,Primates,Cebidae,Callitrichinae,Saguinus,niger,"(É. Geoffroy St.-Hilaire, 1803)",sagui-una,NA,NA
mam_157,Saguinus ursula,Primates,Cebidae,Callitrichinae,Saguinus,ursula,"Hoffmannsegg, 1807","sagui, sauim",NA,NA
mam_158,Saguinus imperator,Primates,Cebidae,Callitrichinae,Saguinus,imperator,"(Goeldi, 1907)","bigodeiro, macaco-bigodeiro, sagui-bigodeiro",NA,NA
mam_159,Saguinus inustus,Primates,Cebidae,Callitrichinae,Saguinus,inustus,"(Schwartz, 1951)","sagui, sauim",NA,NA
mam_160,Saguinus labiatus,Primates,Cebidae,Callitrichinae,Saguinus,labiatus,"(É. Geoffroy St.-Hilaire, 1812)",sagui-de-boca-branca,NA,NA
mam_161,Saguinus mystax,Primates,Cebidae,Callitrichinae,Saguinus,mystax,"(Spix, 1823)",sagui-de-bigode,NA,NA
mam_162,Cebus albifrons,Primates,Cebidae,Cebinae,Cebus,albifrons,"(Humboldt, 1811)",caiarara,NA,NA
mam_163,Cebus kaapori,Primates,Cebidae,Cebinae,Cebus,kaapori,"Queiroz, 1992",caiarara,NA,NA
mam_164,Cebus olivaceus,Primates,Cebidae,Cebinae,Cebus,olivaceus,"Schomburgk, 1848",caiarara,NA,NA
mam_165,Cebus unicolor,Primates,Cebidae,Cebinae,Cebus,unicolor,"Spix, 1823",caiarara,NA,NA
mam_166,Saimiri boliviensis,Primates,Cebidae,Cebinae,Saimiri,boliviensis,"(I. Geoffroy St.-Hilaire & Blainville, 1834)",macaco-de-cheiro,NA,NA
mam_167,Saimiri cassiquiarensis,Primates,Cebidae,Cebinae,Saimiri,cassiquiarensis,"(Lesson, 1840)",macaco-de-cheiro,NA,NA
